name,purpose,elements,width_bits,copies_one_engine,static_dynamic,access,trajectory_scope,banking,online_requirement,source
check_row_pointer,"CSR start/end offsets for detector/check adjacency",1729,19,1,static,read_only,shareable,"scalar RAM",required_current,"fpga/rtl/relay_bp_memory_fabric_p4.sv check_pointer_memory"
edge_to_fault,"fault ID for every check-ordered incidence",391320,17,1,static,read_only,shareable,"partitioned over 4 banks",required,"fpga/rtl/relay_bp_memory_fabric_p4.sv edge_fault_memory"
fault_row_pointer,"CSR start/end offsets for fault adjacency",67753,19,1,static,read_only,shareable,"scalar RAM",required_current,"fpga/rtl/relay_bp_memory_fabric_p4.sv variable_pointer_memory"
fault_to_edge,"check-order edge ID for every fault-ordered incidence",391320,19,1,static,read_only,shareable,"partitioned over 4 banks",required,"fpga/rtl/relay_bp_memory_fabric_p4.sv permutation_memory"
quantized_prior,"18-bit log-likelihood prior; probabilities compiled to this form",67752,18,1,static,read_only,shareable,"partitioned over 4 banks",required,"fpga/rtl/relay_bp_memory_fabric_p4.sv prior_memory"
MU,"check-to-fault messages",391320,18,1,dynamic,read_write,trajectory_specific,"partitioned over 4 banks",required,"fpga/rtl/relay_bp_memory_fabric_p4.sv mu_memory"
NU,"fault-to-check messages from previous/current iteration",391320,18,1,dynamic,read_write,trajectory_specific,"partitioned over 4 banks",required,"fpga/rtl/relay_bp_memory_fabric_p4.sv nu_memory"
marginal_belief,"current fault marginal and previous-leg handoff state",67752,18,1,dynamic,read_write,trajectory_specific,"partitioned over 4 banks",required,"fpga/rtl/relay_bp_memory_fabric_p4.sv marginal_memory"
active_gamma,"current leg's fault-indexed gamma coefficients",67752,5,1,dynamic,read_write,trajectory_specific,"partitioned over 4 banks",required_current,"fpga/rtl/relay_bp_memory_fabric_p4.sv gamma_memory"
decision,"current correction candidate bits",67752,1,1,dynamic,read_write,trajectory_specific,"partitioned over 4 banks",required,"fpga/rtl/relay_bp_memory_fabric_p4.sv decision_memory"
syndrome,"current measured detector syndrome",1728,1,1,dynamic_input,read_only_during_decode,shareable,"partitioned over 4 banks",required,"fpga/rtl/relay_bp_memory_fabric_p4.sv syndrome_memory"
residual_counter,"residual syndrome weight while checking convergence",1,32,1,dynamic,read_write,trajectory_specific,register,required,"relay_bp_convergence_controller_p4.sv"
RNG_state,"xorshift64 state for independent gamma generation",1,64,1,dynamic,read_write,trajectory_specific,register,required,"fpga/rtl/relay_bp_gamma_rng.sv"
selected_candidate_weight,"weight associated with successful candidate",1,32,1,dynamic,read_write,trajectory_specific,register,required,"fpga/rtl/relay_bp_single_engine_memory_p4.sv"
iteration_counter,"global/leg iteration bookkeeping",1,32,1,dynamic,read_write,trajectory_specific,register,required,"fpga/rtl/relay_bp_single_engine_memory_p4.sv"
relay_leg_counter,"relay-leg index for R=32",1,6,1,dynamic,read_write,trajectory_specific,register,required,"fpga/rtl/relay_bp_single_engine_memory_p4.sv"
guard_accumulator,"temporary variable-node MU sum",1,22,1,dynamic_temporary,read_write,trajectory_specific,register,required,"fpga/rtl/relay_bp_variable_controller_p4.sv sum_mu"
running_best_state,"no separate bulk state in locked S=1 architecture",0,0,0,not_stored,none,none,none,not_required,"reference/relay_bp_fixed.py; first successful candidate terminates"
relay_memory,"no separate array; final marginal is reused across legs",0,0,0,not_stored,none,none,none,not_required,"reference/relay_bp_fixed.py relay_handoff"
observable_pointer,"sparse logical-action offsets",67753,17,0,static,read_only,shareable,"not in P4 fabric",offline_current,"faults.npz observable_indptr"
observable_indices,"logical observable IDs attached to faults",110971,4,0,static,read_only,shareable,"not in P4 fabric",offline_current,"faults.npz observable_indices"
BA2_fault_bank_assignment,"two-bit intended residue per fault",67752,2,0,static,read_only,shareable,"compiled into address residue",offline_only,"results/bank-aware-folding-layout/bank_assignments_faults.csv"
BA2_edge_bank_assignment,"two-bit intended residue per edge",391320,2,0,static,read_only,shareable,"compiled into address residue",offline_only,"results/bank-aware-folding-layout/bank_assignments_edges.csv"
BA2_fault_forward_map,"old-to-new fault permutation",67752,17,0,static,read_only,shareable,"not in P4 fabric",offline_only,"results/bank-aware-folding-layout/permutations.npz"
BA2_fault_inverse_map,"new-to-old fault permutation",67752,17,0,static,read_only,shareable,"not in P4 fabric",validation_output_only,"results/bank-aware-folding-layout/permutations.npz"
BA2_edge_forward_map,"old-to-new edge permutation",391320,19,0,static,read_only,shareable,"not in P4 fabric",offline_only,"results/bank-aware-folding-layout/permutations.npz"
BA2_edge_inverse_map,"new-to-old edge permutation",391320,19,0,static,read_only,shareable,"not in P4 fabric",validation_output_only,"results/bank-aware-folding-layout/permutations.npz"
scheduler_group_metadata,"groups generated from sequential CSR positions and P; no explicit table",0,0,0,not_stored,none,none,none,not_required,"relay_bp_*_controller_p4.sv"
