template_id,trajectory_requests,memory_structure,scope,bank,address,operation,lane,phase,iteration,relay_leg,request_issue_cycle,grant_cycle,return_cycle,writeback_cycle,groups_per_occurrence,archive_occurrences,total_group_occurrences,note
0,E0 and E1 independently; shared rows co-issue while both active,degree_tables,shared,check_id%4,check_id,read,lane0,check,repeated archived iteration,repeated archived leg,check_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,1728,47736,82487808,read check degree
1,E0 and E1 independently; shared rows co-issue while both active,syndrome,shared,check_id%4,check_id,read,lane0,check,repeated archived iteration,repeated archived leg,check_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,1728,47736,82487808,read syndrome
2,E0 and E1 independently; shared rows co-issue while both active,message,private,edge_id%4,edge_id,read,lanes0:3,check,repeated archived iteration,repeated archived leg,check_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,97830,47736,4670012880,gather NU_old
3,E0 and E1 independently; shared rows co-issue while both active,message,private,edge_id%4,edge_id,write,lanes0:3,check,repeated archived iteration,repeated archived leg,check_base + group_index,issue (no arbitration in dual-read mode),,issue edge,97830,47736,4670012880,write MU after neighborhood return fence
4,E0 and E1 independently; shared rows co-issue while both active,fault_degree,shared,fault_id%4,fault_id,read,lane0,variable,repeated archived iteration,repeated archived leg,variable_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,67752,47736,3234209472,read fault degree
5,E0 and E1 independently; shared rows co-issue while both active,prior,shared,fault_id%4,fault_id,read,lane0,variable,repeated archived iteration,repeated archived leg,variable_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,67752,47736,3234209472,read prior
6,E0 and E1 independently; shared rows co-issue while both active,fault_to_edge,shared,packed_group%4,packed_group,read,lanes0:3,variable,repeated archived iteration,repeated archived leg,variable_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,126288,47736,6028483968,read fault adjacency
7,E0 and E1 independently; shared rows co-issue while both active,message,private,edge_id%4,edge_id,read,lanes0:3,variable,repeated archived iteration,repeated archived leg,variable_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,97830,47736,4670012880,gather MU
8,E0 and E1 independently; shared rows co-issue while both active,message,private,edge_id%4,edge_id,write,lanes0:3,variable,repeated archived iteration,repeated archived leg,variable_base + group_index,issue (no arbitration in dual-read mode),,issue edge,97830,47736,4670012880,write NU_new after neighborhood return fence
9,E0 and E1 independently; shared rows co-issue while both active,check_degree,shared,check_id%4,check_id,read,lane0,convergence,repeated archived iteration,repeated archived leg,convergence_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,1728,47736,82487808,read check degree
10,E0 and E1 independently; shared rows co-issue while both active,syndrome,shared,check_id%4,check_id,read,lane0,convergence,repeated archived iteration,repeated archived leg,convergence_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,1728,47736,82487808,read syndrome
11,E0 and E1 independently; shared rows co-issue while both active,edge_to_fault,shared,edge_group%4,edge_group,read,lanes0:3,convergence,repeated archived iteration,repeated archived leg,convergence_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,98640,47736,4708679040,read edge metadata
12,E0 and E1 independently; shared rows co-issue while both active,decision,private,fault_id%4,fault_id,read,lanes0:3,convergence,repeated archived iteration,repeated archived leg,convergence_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,98640,47736,4708679040,decision gather; BA2 retries separate
13,E0 and E1 independently; shared rows co-issue while both active,edge_to_fault,shared,edge_group%4,edge_group,read,lanes0:3,relay_init,repeated archived iteration,repeated archived leg,relay_init_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,97830,823,80514090,read edge metadata
14,E0 and E1 independently; shared rows co-issue while both active,prior,shared,fault_id%4,fault_id,read,lanes0:3,relay_init,repeated archived iteration,repeated archived leg,relay_init_base + group_index,issue (no arbitration in dual-read mode),issue + read_latency,,147138,823,121094574,prior gather including BA2 retry subsets
15,E0 and E1 independently; shared rows co-issue while both active,message,private,edge_id%4,edge_id,write,lanes0:3,relay_init,repeated archived iteration,repeated archived leg,relay_init_base + group_index,issue (no arbitration in dual-read mode),,issue edge,97830,823,80514090,initialize NU
