category,GARI,Relay-BP complete system,comparison_status,evidence
Mathematical decoder,"Normalized min-sum on GARI-transformed D_X/D_Z/U/V graph","Fixed-point Relay-BP; b=18, 22-bit guard accumulator, M=16",PARTIAL,"Different decoders and graph representations"
Trajectory/core diversity,"Three physical cores per VCU19P; 24-decoder ensemble context; diversity mechanism unreported","N=2 independent E0/E1 gamma/RNG trajectories; first syndrome-valid success wins",PARTIAL,"Both use multiple attempts but GARI arbitration/diversity are unspecified"
Folding/resource reuse,"D_X/D_Z share serial unit; U/V share parallel unit","Each trajectory uses P reusable lanes; reference P=4",PARTIAL,"Both reuse computation but at different granularities"
Memory layout,"Tile memories plus tagged buffered crossbars","BA2 co-access-aware fault/message address residues across four banks",PARTIAL,"Both map graph data; BA2 directly targets address modulo four conflicts"
Graph connectivity,"Augmented and rewired under a change of variables","Unchanged; BA2 is exactly reversible",NO,"Fundamentally different graph action"
Average latency,"14.4 us single; 7.16 us/12 rounds for 24-decoder ensemble at p=0.001","N=1 original 726388133; N=2 original 471101739; N=1 BA2 617117727; N=2 BA2 400249878 modeled cycles",INVALID,"GARI is implemented FPGA time; Relay-BP is a software/RTL-calibrated model on p=0.003"
Tail latency,"No p90/p95/p99/max distribution reported","N=2 original p95 1455090357 and p99 2207801682 modeled cycles; BA2 N=2 p95 1236224243 and p99 1875628598",RELAY_BP_STRONGER_EVIDENCE,"Only Relay-BP has explicit archived tail distribution; no absolute cross-system ranking"
Hard-case rescue,"Ensemble intended to improve performance; per-case rescue data unreported","3/3 N=1 non-convergences rescued; E1 wins 33/128",RELAY_BP_STRONGER_EVIDENCE,"Matched paired archive exists only on Relay-BP side"
Logical outcome,"No logical-error table in audited architecture paper","N=1 125/128; N=2 128/128 logical success; no syndrome-valid logical errors",INVALID,"p and cohort differ; 128 shots are insufficient for an LER curve"
Single-engine memory,"704 BRAM measured on VU29P","878 ideal or 900 per-array/four-bank capacity-equivalent; not synthesized",INVALID,"Actual versus analytical lower-bound capacity"
Multi-engine memory,"Three cores: 2121 BRAM on VCU19P","N=2: 1755 ideal or 1800 per-array/four-bank capacity-equivalent; not synthesized",INVALID,"Core counts and implementation maturity differ"
LUT/registers,"Three cores: 381698 LUT and 365765 REG","Unavailable",UNKNOWN,"No Relay-BP synthesis"
Hardware maturity,"Implemented and placed on VU29P/VCU19P","Software trajectories plus RTL-calibrated access/cycle model; no synthesis result in this study",GARI_STRONGER,"GARI has physical implementation evidence"
