experiment_id,experiment_name,source_type,git_commit,script,configuration,seed,shots,runtime,status,result_file,notes
environment,isolated campaign environment,MEASURED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,COMPLETE,Resource-Scalabe and Elastic Relay-BP Acceleration/requirements.txt,sha256=a30995ecb1c0679ba3abe20971f68ef5969ab7eee27e79d4ce38a9ba9440317f
p_sweep,P=2/4/8 folding sweep,SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,REUSED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/folding-factor-sweep/p_sweep_structural.csv,sha256=e51706a39676563725ec267623d4eeaecc863754e07ecf482f0ecbd21ed85d76
ba2_heuristics,folding heuristic comparison,SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,REUSED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/bank-aware-folding-layout/variant_comparison.csv,sha256=0329e501dcddf3337c61e34c2afd8194edd704d7916c9eda9420b3aa216e9f72
metis,METIS partition quality,SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,REUSED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/graph-partitioning-metis/partition_metrics.json,sha256=38cbad129806bc5627d8b404b952c39d40e745d240a94f0058e5598b15959fbb
ler,bounded LER sweep,SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,BOUNDED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/paper-ler-reproduction-expanded/per_p_summary.csv,sha256=3a1a1103647b1bf7d450606b6bc5027d33a8497ccdf1bd4e6eac7ed77bd1adda
n1_n2,N=1 versus N=2 first-success,SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,REUSED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/n1-vs-n2-hardware-latency/aggregate_summary.json,sha256=59e4ef719a5d6c3054fc2e86dad9f42bf1bc952c455888e5cd4f7a36b678a1a1
m4_validation,M4 memory/equivalence validation,ANALYTICAL/SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,REUSED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/relaybp-memory-m4-validation/study_manifest.json,sha256=81e93d0de272484ab7571780ef7dfd711e3fb467d08b8415c7179778d4974af5
m4_rtl,M4 RTL fabric simulation,RTL-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,REUSED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/m4-memory-fabric-rtl/study_manifest.json,sha256=7d6fee7bced5ca87e3b90ba8c42dedf7d38fcd03be2ac2ee7e0f8fa28a4c2553
gari,GARI comparison,LITERATURE/BLOCKED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,archived artifact; verified in this campaign environment,see source manifest/README,see source manifest,see source artifact,not recorded in source artifact,NOT_MATCHED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/gari-comparison/final_gari_comparison.md,sha256=7d46942a946ca931e2d06a3b72daf72f43ec97be5f28ddd305441ff5e7c735ca
n4_factorial,N=4 factorial,BLOCKED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,,N=4 not present in archived evidence,,,,BLOCKED,,Requires new controlled decoder run.
fpga_synthesis,Vivado synthesis/timing,BLOCKED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,,target part and Vivado unavailable,,,,BLOCKED,,Analytical BRAM is not FPGA measurement.
baseline_small,Baseline versus Relay-BP small paired study,SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,results/baseline-simulations/run_baseline.py,Tier-1 code-capacity package; 64 paired shots; p=0.03; decoder seed 91,20260807,64,completed,COMPLETE,Resource-Scalabe and Elastic Relay-BP Acceleration/results/empirical_campaign/relay_comparison/baseline_results.csv,Logical scoring unavailable for this Tier-1 package.
n_sweep_n4,N=1/2/4 parallel trajectory model,SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,results/parallel-trajectory-model/run_parallel_model.py,Tier-2 p=0.003; 640 paired cases per N; fixed b18/g4/M16; P=4 timing model,paired multiseed archive,1920 policy rows,REUSED,Resource-Scalabe and Elastic Relay-BP Acceleration/results/parallel-trajectory-model/summary.json,N=4 is recovered from an archived run; no new decoder run.
metis_communication,METIS boundary and communication metrics,SOFTWARE-SIMULATED,ecf279a9f443a0b900a6411191bcb650e3dff3d2,results/graph-partitioning-metis/run_metis_partitioning.py,Selected seed 2; 391320 incidences; four partitions,20260830,391320,completed,COMPLETE,Resource-Scalabe and Elastic Relay-BP Acceleration/results/empirical_campaign/metis/metis_partition_results.csv,Communication volume is distinct cross-partition endpoint references for selected METIS only; controls remain not measured.
