property,GARI,BA2/P=4,comparable,reason
Decoder,"Normalized min-sum BP on GARI-transformed matrix","Fixed-point Relay-BP",PARTIAL,"Both message passing; different equations/schedules"
Graph representation,"Correlated X/Y/Z DEM refactored into D_X,D_Z,U,V blocks","Stim/DEM detector-fault bipartite graph",PARTIAL,"Same broad DEM concept; different concrete graph"
Graph transformation,"Change of variables; auxiliary blocks and rewired connectivity remove Y-related 4-cycles","No mathematical transformation; reversible storage permutation",NO,"Inference graph changes only in GARI"
Message passing,"Serial/layered D_X,D_Z plus parallel U,V normalized min-sum","Canonical Relay-BP over unchanged neighborhoods",PARTIAL,"Both exchange graph messages"
Correlated errors,"Explicit joint X/Y/Z structure and U/V reliability exchange","Circuit-level faults carry detector and logical incidences",PARTIAL,"Different representation and decoder"
Processing units,"45-tile serial D_X/D_Z unit plus 18-tile parallel U/V unit","Four modeled reusable lanes",NO,"Different units and parallelism"
Folding/resource reuse,"D_X/D_Z share one unit; U/V share one unit; compatible work overlaps","P=4 graph accesses time-multiplex over four lanes",PARTIAL,"Both reuse hardware over time but schedules differ"
Memory banking,"Variables mapped to tile memories; co-check variables separated","Four logical banks selected by address modulo four",PARTIAL,"Both place graph state in banks; address semantics differ"
Explicit bank-conflict optimization,"No modulo-bank co-occurrence objective reported","BA2 minimizes weighted same-residue co-access plus balance",NO,"BA2 targets a distinct conflict model"
Routing,"Tagged buffered staged crossbars; collision/back-pressure overhead","Stable first-per-bank issue; unresolved accesses retry",PARTIAL,"Both expose contention but mechanisms differ"
Cores/ensemble,"Three complete cores per VCU19P; 24-core ensemble spans eight devices","BA2 headline is one layout; historical N=2 uses two software trajectories",PARTIAL,"Both can support diversity but physical organization differs"
Randomness,"Not specified in architecture paper","Independent fault-indexed gamma/RNG streams for historical E0/E1",NO,"GARI diversity source unreported"
Winner selection,"Not specified; full ensemble integration listed as future work","First successful correction wins in historical N=2",NO,"Cannot establish analogy"
Early stopping,"Parity convergence terminates a core; ensemble stopping unreported","Syndrome convergence; selected BA2 does not alter termination",PARTIAL,"Core-level convergence is analogous; ensemble policy is not"
Graph connectivity preservation,"No; factor graph is augmented/rewired under a change of variables","Yes; H/A/probabilities/incidences preserved exactly",NO,"Central distinction"
Hardware status,"Implemented single VU29P core and three VCU19P cores","Software folding/access model only",NO,"Different validation level"
FPGA device,"VU29P single core; VCU19P three cores","None",NO,"No BA2 FPGA implementation"
Frequency,"Approximately 274 MHz (3.647 ns)","Not measured",NO,"No hardware clock for BA2"
Latency,"14.4 us single average; 7.16 us/12 rounds for 24-member ensemble; about 596 ns/round","9.984% structural and 15.043% trajectory-weighted modeled-cycle reductions",NO,"Measured/implemented timing cannot be ranked against modeled relative cycles"
Resources,"Single: 122393 LUT/111697 REG/704 BRAM; three: 381698/365765/2121","Not measured",NO,"No synthesis for BA2"
Accuracy metric,"Quantized design said close to float; average iterations from [20]; no LER table here","Exact equivalence on 256 trajectories; no claim of accuracy gain",NO,"Different validation questions"
